id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46660516,Corporate Stays | Hexagone 2 | Exquisite 2BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49118,-73.55598,Entire home/apt,169,30,0,,,183,58,0,
46488854,Corporate Stays | Hexagone | Bright 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49275,-73.55855,Entire home/apt,194,30,0,,,183,78,0,
46676340,Strawberry Stays! Secret to sweet dreams!,128430021,Philippe,,Mercier-Hochelaga-Maisonneuve,45.54824,-73.5407,Entire home/apt,117,1,138,2022-09-07,6.68,17,45,96,CITQ : 299589
46679546,Cozy apt Au cœur/ in heart of Plateau Mont-Royal,92161763,Ely,,Le Plateau-Mont-Royal,45.52718,-73.5775,Entire home/apt,29,30,1,2021-02-11,0.05,1,0,0,
46489303,Corporate Stays | Hexagone | Stylish 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49216,-73.55672,Entire home/apt,194,30,0,,,183,88,0,
46692964,"5min du metro, Studio lumineux, mignon et comfo!",158179826,Francine,,Mercier-Hochelaga-Maisonneuve,45.57146,-73.54314,Entire home/apt,78,3,23,2022-07-24,1.61,3,333,17,
46489853,Corporate Stays | Hexagone | Superb 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49188,-73.55682,Entire home/apt,194,30,0,,,183,88,0,
46490123,Corporate Stays | Hexagone | Amazing 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49144,-73.55672,Entire home/apt,200,30,0,,,183,67,0,
46490377,Corporate Stays | Hexagone | Classy 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49278,-73.55643,Entire home/apt,194,30,0,,,183,78,0,
46490701,Corporate Stays | Hexagone | Trendy 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49272,-73.55652,Entire home/apt,194,30,0,,,183,81,0,
46697790,Rustic Modern 1864 Loft in Old Port Montreal,24464546,Rikki,,Ville-Marie,45.50674,-73.55234,Entire home/apt,81,90,2,2022-05-31,0.13,1,0,1,
46491107,Corporate Stays | Hexagone | Beautiful 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.4916,-73.55665,Entire home/apt,194,30,0,,,183,40,0,
46709210,Appartement à sous louer 15 janvier au 1 mars.,320144982,Krystel,,Ville-Marie,45.52078,-73.55999,Entire home/apt,80,1,0,,,1,0,0,
46493048,Fabulous 2bdrm condo on 24th floor in TDC3,128005681,Marta,,Ville-Marie,45.49568,-73.56856,Entire home/apt,135,30,1,2022-05-31,0.28,1,146,1,
46709542,two private rooms in a Family friendly apartment,197244000,Sina,,Mercier-Hochelaga-Maisonneuve,45.57902,-73.51821,Private room,50,90,0,,,1,90,0,
46498284,"Bright, Spacious 1 BR backing onto Place des Arts",39867482,Jordan,,Ville-Marie,45.50945,-73.56967,Entire home/apt,327,1,69,2022-08-29,3.34,1,7,51,
46709861,"Private 1 bedroom luxury condo, heart of downtown",256910976,Mya,,Le Sud-Ouest,45.49247,-73.55743,Entire home/apt,77,30,4,2022-04-15,0.20,1,61,1,
46504195,Corporate Stays | Hexagone | Elegant 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49165,-73.55874,Entire home/apt,194,30,0,,,183,81,0,
46504565,Corporate Stays | Hexagone | Tasteful 1 BR,38459934,Corporate Stays,,Le Sud-Ouest,45.49125,-73.55844,Entire home/apt,194,30,0,,,183,34,0,
46711272,Room 104 | Maison Sainte-Thérése,113699303,Maisons & Co,,Ville-Marie,45.5079,-73.55394,Entire home/apt,249,2,11,2022-09-01,0.57,25,270,9,
