id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1407832,Beautifully Renovated Dublin House,5818278,Therese,,Dn Laoghaire-Rathdown,53.29832,-6.17191,Entire home/apt,160,4,63,2022-08-15,0.57,1,0,5,
3110929,Own space with en-suite in leafy Dublin suburb,14335305,Clodagh,,Dublin City,53.31792,-6.27942,Private room,75,8,40,2021-04-08,0.40,1,48,0,
1411019,City Centre Double Room in Penthouse Apartment,765874,Sam,,Dublin City,53.34722,-6.26918,Private room,95,2,237,2022-02-06,3.00,3,0,8,
1421993,Twin Room in Georgian House,4435361,Georgia & Gar,,Dublin City,53.34668,-6.24758,Private room,300,3,56,2017-04-23,0.51,1,0,0,
3137058,Large sunny double bedroom & luxury bathroom,12000497,Peter,,Dublin City,53.33208,-6.29582,Private room,89,3,100,2022-08-31,1.75,1,12,2,
1447994,Stunning Bedroom in Great Location,2401732,Maximilian,,Dublin City,53.33993,-6.23329,Private room,75,3,3,2015-02-14,0.03,1,0,0,
3180314,Unique Dublin Townhouse,2130281,Hanan & Fergal,,Dublin City,53.33452,-6.27705,Entire home/apt,180,6,6,2016-03-27,0.06,1,0,0,
1466234,Single room,5940448,Elva,,Dublin City,53.32894,-6.30413,Private room,40,4,141,2022-09-09,1.28,1,248,13,
3188621,Self Contained in Heart of Old Medieval Dublin.,16158874,Lina,,Dublin City,53.34213,-6.28813,Private room,104,3,155,2022-08-23,1.65,2,31,26,
3221575,2 double bed / 2 bath apartment,16314024,David,,Fingal,53.4187,-6.14568,Entire home/apt,88,1,31,2016-08-03,0.35,1,0,0,
1488124,Modern Double Room Ensuite - Heart of Dublin City°,5605429,Eddy,,Dublin City,53.35375,-6.24902,Private room,68,2,119,2018-10-28,1.08,1,0,0,
3226975,Cosy 2 BD Cottage in Dublin City,16327240,Ali,,Dublin City,53.35269,-6.29078,Entire home/apt,70,3,6,2015-06-24,0.06,1,0,0,
1518845,Double room,8107028,Shay,,Dublin City,53.3642,-6.18274,Private room,800,5,58,2017-11-01,0.53,2,0,0,
3253976,Could not be more central,16457796,Victoria,,Dublin City,53.34347,-6.26251,Private room,120,1,78,2018-06-20,0.78,1,0,0,
3260995,"Red brick home, close to city",16435924,Rory,,Dublin City,53.37431,-6.24123,Entire home/apt,130,7,2,2016-07-07,0.02,1,0,0,
1520036,Stunning Modern Apartment  Dublin City,6973475,Brendan,,Dublin City,53.34484,-6.27976,Entire home/apt,350,7,51,2022-08-28,0.47,1,46,1,
